# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8792		3615		3014
1		8109		7235		3111
2		7783		10839		3185
3		7410		14428		3223
4		7207		18018		3210
5		6901		21604		3212
6		6755		25171		3247
7		6598		28793		3273
8		6420		32361		3273
9		6245		35936		3256
10		6156		39556		3281
11		6083		43156		3305
12		5978		46743		3297
13		5889		50328		3296
14		5784		53958		3271
15		5666		57556		3308
16		5571		61152		3263
17		5540		64799		3250
18		5400		68408		3244
19		5299		72010		3262
20		5391		75620		3289
21		5340		79232		3297
22		5284		82774		3290
23		5193		86333		3284
24		5097		89909		3322
25		5070		93487		3316
26		5087		97088		3315
27		5033		100733		3330
28		4995		104336		3331
29		4950		107938		3289
30		4916		111550		3315
31		4881		115150		3295
32		4803		118786		3303
33		4771		122370		3310
34		4763		125959		3315
35		4733		129551		3293
36		4660		133184		3308
37		4640		136825		3303
38		4676		140433		3311
39		4586		144022		3305
40		4586		147591		3311
41		4551		151183		3320
42		4458		154727		3348
43		4443		158310		3342
44		4396		161899		3316
45		4408		165523		3332
46		4392		169113		3331
47		4354		172721		3313
48		4336		176304		3303
49		4306		179914		3315
50		4327		183486		3343
51		4252		187099		3345
52		4232		190692		3329
53		4223		194280		3315
54		4171		197873		3349
55		4115		201515		3343
56		4103		205089		3299
57		4092		208684		3331
58		4057		212334		3346
59		4150		215966		3319
60		4113		219586		3366
61		4116		223180		3342
62		4093		226810		3327
63		4097		230420		3357
64		4073		234048		3334
65		4027		237669		3326
66		3995		241286		3328
67		3994		244922		3357
68		3981		248556		3365
69		3948		252107		3335
70		3926		255711		3338
71		3962		259330		3347
72		3905		262940		3347
73		3869		266593		3337
74		3879		270133		3378
75		3809		273749		3355
76		3805		277350		3366
77		3831		280910		3373
78		3781		284505		3354
79		3772		288089		3367
80		3752		291696		3366
81		3752		295227		3352
82		3796		298849		3363
83		3773		302456		3355
84		3780		306117		3345
85		3763		309688		3357
86		3728		313276		3384
87		3765		316878		3364
88		3726		320466		3368
89		3672		324068		3385
90		3708		327616		3362
91		3673		331229		3364
92		3609		334822		3348
93		3629		338419		3371
94		3635		342069		3367
95		3618		345702		3381
96		3659		349338		3369
97		3672		352954		3372
98		3641		356568		3367
99		3611		360129		3366
100		3573		363743		3362
101		3552		367341		3353
102		3516		370911		3357
103		3529		374506		3352
104		3534		378126		3365
105		3504		381736		3368
106		3541		385339		3378
107		3536		388969		3410
108		3493		392592		3382
109		3462		396206		3374
110		3477		399817		3368
111		3478		403455		3391
112		3496		407123		3381
113		3493		410742		3392
114		3459		414403		3396
115		3392		418008		3395
116		3397		421588		3387
117		3365		425224		3405
118		3418		428853		3382
119		3428		432462		3396
120		3420		436073		3420
121		3416		439669		3376
122		3362		443283		3401
123		3373		446903		3398
124		3440		450508		3392
125		3405		454163		3387
126		3376		457783		3415
127		3389		461407		3402
128		3394		465042		3383
129		3377		468652		3410
130		3359		472200		3392
131		3349		475797		3391
132		3335		479433		3407
133		3339		483030		3392
134		3317		486658		3418
135		3326		490255		3390
136		3347		493845		3423
137		3328		497436		3405
138		3298		501033		3441
139		3261		504631		3403
140		3259		508248		3406
141		3257		511850		3386
142		3240		515464		3372
143		3268		519109		3404
144		3293		522754		3405
145		3254		526405		3371
146		3241		530004		3385
147		3155		533660		3418
148		3157		537305		3408
149		3159		540950		3398
150		3182		544566		3414
151		3208		548189		3412
152		3207		551851		3402
153		3182		555427		3387
154		3184		559026		3418
155		3177		562612		3409
156		3146		566213		3404
157		3146		569789		3400
158		3144		573410		3406
159		3142		577011		3406
160		3085		580588		3419
161		3063		584213		3383
162		3089		587831		3398
163		3065		591453		3401
164		3096		595065		3410
165		3104		598656		3406
166		3095		602275		3408
167		3143		605906		3418
168		3126		609512		3432
169		3116		613094		3401
170		3103		616704		3410
171		3093		620332		3389
172		3132		623934		3401
173		3157		627580		3412
174		3168		631202		3424
175		3191		634790		3419
176		3161		638397		3420
177		3170		642039		3442
178		3158		645645		3417
179		3160		649244		3416
180		3178		652871		3437
181		3139		656483		3436
182		3127		660079		3419
183		3145		663662		3443
184		3113		667290		3455
185		3171		670961		3427
186		3119		674548		3411
187		3058		678159		3423
188		3064		681730		3434
189		3044		685358		3431
190		3068		688940		3421
191		3055		692552		3428
192		3052		696226		3407
193		3020		699842		3425
194		3044		703445		3416
195		2996		707058		3409
196		3002		710667		3433
197		3028		714338		3421
198		2994		717965		3433
199		2994		721623		3413
200		2982		725255		3422
201		2982		728866		3420
202		2982		732515		3418
203		2976		736129		3400
204		2992		739716		3426
205		2957		743293		3414
206		2958		746934		3434
207		2960		750592		3425
208		3019		754207		3409
209		2976		757831		3410
210		3036		761446		3426
211		3019		765054		3444
212		3014		768651		3450
213		2977		772287		3423
214		2963		775919		3413
215		2933		779536		3422
216		2890		783150		3440
217		2900		786757		3444
218		2919		790367		3439
219		2931		793992		3421
220		2962		797609		3432
221		2984		801246		3442
222		2973		804878		3431
223		2987		808493		3436
224		2934		812115		3454
225		2881		815702		3459
226		2918		819285		3449
227		2902		822858		3462
228		2947		826493		3452
229		2939		830126		3454
230		2903		833783		3452
231		2927		837368		3439
232		2929		840949		3438
233		2904		844572		3433
234		2887		848210		3455
235		2847		851837		3456
236		2836		855439		3449
237		2819		859073		3452
238		2831		862641		3446
239		2839		866240		3475
240		2868		869811		3461
241		2838		873383		3464
242		2822		877002		3474
243		2858		880634		3455
244		2882		884222		3456
245		2893		887837		3457
246		2845		891490		3457
247		2824		895068		3434
248		2825		898731		3466
249		2827		902316		3467
